"Segment","Latitude","Longitude","Altitude (m)","Time (UTC ISO)","Time (UTC)","Time (Local)","UNIX Epoch Time"
1,"38.74300869546847","-109.56566870032336","1451.8443603515625","2020-02-16T17:41:31.752Z","2020-02-16 17:41:31.752","2020-02-16 10:41:31.752","1581874891.752"
1,"38.74301392211829","-109.56567207764748","1451.827392578125","2020-02-16T17:41:32.577Z","2020-02-16 17:41:32.577","2020-02-16 10:41:32.577","1581874892.577"
1,"38.74301506864531","-109.5656728180076","1451.8236083984375","2020-02-16T17:41:32.758Z","2020-02-16 17:41:32.758","2020-02-16 10:41:32.758","1581874892.758"
1,"38.74302138527527","-109.56567688091164","1451.7998046875","2020-02-16T17:41:33.756Z","2020-02-16 17:41:33.756","2020-02-16 10:41:33.756","1581874893.756"
1,"38.74302772880473","-109.56568091263904","1451.7669677734375","2020-02-16T17:41:34.760Z","2020-02-16 17:41:34.760","2020-02-16 10:41:34.760","1581874894.76"
1,"38.743034156423626","-109.56568491446892","1451.718017578125","2020-02-16T17:41:35.779Z","2020-02-16 17:41:35.779","2020-02-16 10:41:35.779","1581874895.779"
1,"38.74304030904669","-109.56568862955518","1451.6507568359375","2020-02-16T17:41:36.756Z","2020-02-16 17:41:36.756","2020-02-16 10:41:36.756","1581874896.756"
1,"38.74304660255585","-109.5656922519418","1451.5555419921875","2020-02-16T17:41:37.758Z","2020-02-16 17:41:37.758","2020-02-16 10:41:37.758","1581874897.758"
1,"38.74305285922688","-109.56569561477038","1451.430908203125","2020-02-16T17:41:38.758Z","2020-02-16 17:41:38.758","2020-02-16 10:41:38.758","1581874898.758"
1,"38.7430590748007","-109.56569869451548","1451.2786865234375","2020-02-16T17:41:39.756Z","2020-02-16 17:41:39.756","2020-02-16 10:41:39.756","1581874899.756"
1,"38.743065309514684","-109.5657015304374","1451.102294921875","2020-02-16T17:41:40.762Z","2020-02-16 17:41:40.762","2020-02-16 10:41:40.762","1581874900.762"
1,"38.7430715025499","-109.5657041280225","1450.9100341796875","2020-02-16T17:41:41.766Z","2020-02-16 17:41:41.766","2020-02-16 10:41:41.766","1581874901.766"
1,"38.74307764736258","-109.56570653301088","1450.7093505859375","2020-02-16T17:41:42.766Z","2020-02-16 17:41:42.766","2020-02-16 10:41:42.766","1581874902.766"
1,"38.743083778673714","-109.56570880664701","1450.5064697265625","2020-02-16T17:41:43.766Z","2020-02-16 17:41:43.766","2020-02-16 10:41:43.766","1581874903.766"
1,"38.74308990489254","-109.56571099459349","1450.3077392578125","2020-02-16T17:41:44.765Z","2020-02-16 17:41:44.765","2020-02-16 10:41:44.765","1581874904.765"
1,"38.743095995122786","-109.56571312279067","1450.11962890625","2020-02-16T17:41:45.755Z","2020-02-16 17:41:45.755","2020-02-16 10:41:45.755","1581874905.755"
1,"38.74310220953105","-109.56571527584438","1449.94189453125","2020-02-16T17:41:46.758Z","2020-02-16 17:41:46.758","2020-02-16 10:41:46.758","1581874906.758"
1,"38.74310855973202","-109.56571747978829","1449.779052734375","2020-02-16T17:41:47.770Z","2020-02-16 17:41:47.770","2020-02-16 10:41:47.770","1581874907.77"
1,"38.74311488913413","-109.5657196972829","1449.638916015625","2020-02-16T17:41:48.760Z","2020-02-16 17:41:48.760","2020-02-16 10:41:48.760","1581874908.76"
1,"38.743121441995044","-109.56572203076948","1449.5185546875","2020-02-16T17:41:49.760Z","2020-02-16 17:41:49.760","2020-02-16 10:41:49.760","1581874909.76"
1,"38.74312819530125","-109.56572449295031","1449.4210205078125","2020-02-16T17:41:50.760Z","2020-02-16 17:41:50.760","2020-02-16 10:41:50.760","1581874910.76"
1,"38.743135218996656","-109.56572713436931","1449.34716796875","2020-02-16T17:41:51.765Z","2020-02-16 17:41:51.765","2020-02-16 10:41:51.765","1581874911.765"
1,"38.74314247313995","-109.56572996870833","1449.2978515625","2020-02-16T17:41:52.766Z","2020-02-16 17:41:52.766","2020-02-16 10:41:52.766","1581874912.766"
1,"38.743144164575035","-109.56573064383848","1449.2894287109375","2020-02-16T17:41:52.995Z","2020-02-16 17:41:52.995","2020-02-16 10:41:52.995","1581874912.995"
1,"38.74315990029977","-109.56573750559848","1449.2847900390625","2020-02-16T17:41:54.995Z","2020-02-16 17:41:54.995","2020-02-16 10:41:54.995","1581874914.995"
1,"38.743168341597595","-109.56574152200146","1449.3212890625","2020-02-16T17:41:55.995Z","2020-02-16 17:41:55.995","2020-02-16 10:41:55.995","1581874915.995"
1,"38.74317695985832","-109.56574573883272","1449.365478515625","2020-02-16T17:41:56.995Z","2020-02-16 17:41:56.995","2020-02-16 10:41:56.995","1581874916.995"
1,"38.74318570642219","-109.56575011134471","1449.4134521484375","2020-02-16T17:41:57.995Z","2020-02-16 17:41:57.995","2020-02-16 10:41:57.995","1581874917.995"
1,"38.74319451796968","-109.565754579106","1449.4620361328125","2020-02-16T17:41:58.995Z","2020-02-16 17:41:58.995","2020-02-16 10:41:58.995","1581874918.995"
